n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.esp_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.esp_semantic_type,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
160,0.1991663460216567,0.5245077921885488,0.6549522358144216,0.3504775693176586,70.60345219774261,40.12191598485446,1.3002986271263366,1.0839535582648796,160,-7.841967016859793,150.0,,,33.287506950087845,36.72027014475316,758.7406313754618,63497,0.0119492358910729,0.828716044638184,0.1712839553618159,0.011066126685862,0.988933873314138,7.945741559115217,20.000000000000004,1,53,1584.5812344551086
170,0.1990457076413138,0.5245868045654795,0.6549522358144216,0.3502652792036229,74.10716644034902,42.11297625316932,1.2737022468704873,1.1205430461985242,170,-7.841967016859793,160.0,,,38.28953090403229,68.47890413366258,822.3562400620431,68768,0.011958414379683,0.820599769786259,0.1794002302137409,0.0122477284443526,0.9877522715556474,10.015942463403755,20.000000000000004,1,53,1584.5812344551086
180,0.1990457076413138,0.5245868045654795,0.6549522358144216,0.3502652792036229,77.60981923238525,44.10343332958245,1.2737022468704873,1.1205430461985242,180,-7.841967016859793,170.0,,,40.33074789866805,84.89698545448482,903.2216296689584,74059,0.0121959738812157,0.7695756265870145,0.2304243734129855,0.0111906666829131,0.9888093333170868,7.029238312825686,20.00000000000001,1,53,1584.5812344551086
190,0.1990457076413138,0.5245868045654795,0.6549522358144216,0.3502652792036229,81.11247202442148,46.09389040599559,1.2689999496848097,1.0322447332163769,190,-7.841967016859793,180.0,,,43.7197840064764,76.85234237462282,976.1147263925524,79082,0.0123430708175381,0.8878742329903629,0.112125767009637,0.0121975482600276,0.9878024517399724,3.307652208434153,20.000000000000004,1,53,1584.5812344551086
200,0.1990455630948684,0.524586899236497,0.6549522358144216,0.3502650248419406,84.6151235446493,48.0843467596765,1.2689999496848097,1.0319548981115472,200,-7.841967016859793,190.0,,,47.51442583929747,57.81777207367122,1029.934028699994,84169,0.0122365007152276,0.7800438239094476,0.2199561760905524,0.0124009446451601,0.9875990553548398,4.491455718853585,20.000000000000004,1,53,1584.5812344551086
30,0.6065093766546663,0.2577175635320368,0.6549522358144216,1.0,0.0,0.0,4.334362302176666,0.854354190978625,30,-3.540551982110368,,,,,,0.0,0,,,,,,,,2,54,1609.6524069309237
40,0.6046693624502266,0.2589226849491648,0.6549522358144216,0.9969662229880292,9.984831114940146,6.055893695524465,3.117269741304371,0.7200864744345606,40,-3.540551982110368,30.0,,,13.658097340725362,23.829229534603652,21.348220504820347,2689,0.0079390927872147,0.9683143038591824,0.0316856961408175,0.0318195299742447,0.9681804700257552,11.355586748251852,20.000000000000004,2,54,1609.6524069309237
50,0.3550882058601664,0.422386421474974,0.6549522358144216,0.5854620217394366,17.896972338577477,10.85468153707643,3.166534176899123,0.8449039258817427,50,-3.540551982110368,40.0,,,14.820413775742054,79.35388446226716,96.80055490136148,8011,0.0120834546125778,0.0124545506742439,0.987545449325756,0.0334337271189964,0.9665662728810036,13.53065089570029,20.000000000000004,2,54,1609.6524069309237
60,0.2106441224781651,0.5169903968361805,0.6549522358144216,0.3473056321734353,22.56081060814184,13.683343178768087,3.228114328608909,0.8690749189034485,60,-3.540551982110368,50.0,,,16.09131321310997,45.58285006135702,139.0027827033773,12124,0.0114650926017302,0.012408819614175,0.9875911803858248,0.0264105889457732,0.9735894110542268,10.4596948619154,20.000000000000004,2,54,1609.6524069309237
70,0.1953651152433737,0.5269974167856318,0.6549522358144216,0.3221139239774863,25.907908388896445,15.713389367375784,2.831469727361531,0.888856904132897,70,-3.540551982110368,60.0,,,18.000311718322337,68.06816024146974,203.02510361000896,17433,0.0116460221195439,0.9069171401365754,0.0930828598634246,0.0272325966788791,0.9727674033211208,14.805134181967476,20.000000000000004,2,54,1609.6524069309237
