problem,model,cv_folds,fold,budget,fit_sec,predict_train_sec,predict_test_sec,predict_test_sec_per_point,n_train,n_test
mdgnc,BLR,10,9,75,0.0066217584535479,0.0015029963105916,0.0849701669067144,1.888225931260321e-05,75,4500
mdgnc,BLR,10,9,100,0.0113167967647314,0.0019979607313871,0.0845043463632464,1.8778743636276985e-05,100,4500
mdgnc,BLR,10,9,125,0.0120888268575072,0.0024197911843657,0.0845493292436003,1.8788739831911192e-05,125,4500
mdgnc,BLR,10,9,150,0.0111969271674752,0.0029132729396224,0.0849755359813571,1.888345244030158e-05,150,4500
mdgnc,BLR,10,9,175,0.0115462718531489,0.0033834408968687,0.0866503333672881,1.9255629637175136e-05,175,4500
mdgnc,BLR,10,9,200,0.0111581962555646,0.004059481434524,0.0850774012506008,1.8906089166800183e-05,200,4500
mdgnc,BLR,10,9,225,0.0110364640131592,0.0047405464574694,0.0845667449757456,1.879260999461015e-05,225,4500
mdgnc,BLR,10,9,250,0.0113341901451349,0.0047345766797661,0.0850410815328359,1.889801811840799e-05,250,4500
mdgnc,BLR,10,9,275,0.0106822932139039,0.0052085816860198,0.0847660144791007,1.8836892106466824e-05,275,4500
mdgnc,BLR,10,9,300,0.011087198741734,0.0059482362121343,0.0851341169327497,1.891869265172217e-05,300,4500
