n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,surrogate.recon_train.adj_precision,surrogate.recon_train.adj_recall,surrogate.recon_train.adj_f1,surrogate.recon_train.adj_edge_rate,surrogate.recon_train.feature_mae,surrogate.recon_train.feature_rmse,surrogate.recon_train.n_graphs,surrogate.recon_infill.adj_precision,surrogate.recon_infill.adj_recall,surrogate.recon_infill.adj_f1,surrogate.recon_infill.adj_edge_rate,surrogate.recon_infill.feature_mae,surrogate.recon_infill.feature_rmse,surrogate.recon_infill.n_graphs,run,seed,runtime_sec
285,0.2218518031622194,0.2971642605097512,107.19924918129584,80.03097912148208,6.861969951321649,6.64011814815943,285,6.861969951321649,148.0,22.58112814999185,3.47592867910862e-06,1.8136430699378248,50.363959587877616,728.8404840314761,108666,0.0067071621669287,0.0038241593594919,0.0618397878351146,0.0390791928841878,148.0,888.0,0.0327797003241406,1.0,0.0634028597961406,0.0327797003241406,0.4942327502208787,0.4957434976020375,148.0,0.0292317196726799,1.0,0.0568027794361114,0.0292317196726799,0.4943181663751602,0.4957346498966217,10.0,0,52,1082.2382004261017
295,0.2218518031622194,0.2971642605097512,110.17089178639336,82.24949715310427,6.861969951321649,6.64011814815943,295,6.861969951321649,158.0,22.58112814999185,3.47592867910862e-06,1.6215504959691316,33.983412640867755,754.2427224388812,113343,0.0066545152540419,0.0032725989556118,0.0572066338426919,0.0332797522439387,158.0,948.0,0.0325551445867064,1.0,0.0629851331910755,0.0325551445867064,0.4942381563065927,0.495742937620682,158.0,0.0392905928194522,1.0,0.0755944326519966,0.0392905928194522,0.4948123872280121,0.4962053894996643,10.0,0,52,1082.2382004261017
305,0.2218518031622194,0.2971642605097512,113.14253439149088,84.46801518472647,6.861969951321649,6.64011814815943,305,6.861969951321649,167.0,22.58112814999185,3.47592867910862e-06,1.8594933790154755,49.426513175014406,791.1092598116957,118651,0.0066675313297965,0.0033827420421621,0.0581613449136295,0.0331768931810398,167.0,1002.0,0.0329091883749662,1.0,0.0636480425646205,0.0329091883749662,0.4942685797542869,0.4957674830973505,167.0,0.0285602509975433,1.0,0.0555344223976135,0.0285602509975433,0.4943977952003479,0.4958089530467987,10.0,0,52,1082.2382004261017
75,1.6564524018675568,1.0,0.0,0.0,8.296570550026987,6.64011814815943,75,8.296570550026987,,32.73788196197711,2.6819761842489243e-06,,,0.0,0,,,,,,,,,,,,,,,,,,,,,1,53,1219.0756900310516
85,1.6564524018675568,1.0,10.0,16.56452401867557,8.296570550026987,6.64011814815943,85,8.296570550026987,31.0,32.73788196197711,2.6819761842489243e-06,0.8204499800049234,39.2504801019968,31.081289415888023,5149,0.0060363739397723,0.0164428647986863,0.1282297344561173,0.0886198522959561,31.0,186.0,0.0415965004433547,1.0,0.0797193321970201,0.0415965004433547,0.5016424502095869,0.5027310636735731,31.0,0.0333157069981098,1.0,0.0644831135869026,0.0333157069981098,0.501915043592453,0.5029715657234192,10.0,1,53,1219.0756900310516
95,1.6564524018675568,1.0,20.0,33.12904803735114,8.296570550026987,6.64011814815943,95,8.296570550026987,36.0,32.73788196197711,2.6819761842489243e-06,0.6636607479886152,88.05367863399442,75.39883170175017,11599,0.0065004596690878,0.0101998377869782,0.1009942463063034,0.0658772624608257,36.0,216.0,0.0404463902426262,1.0,0.0776031907233927,0.0404463902426262,0.5016679697566562,0.5027590178781085,36.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.5014101803302765,0.502612441778183,10.0,1,53,1219.0756900310516
105,1.6564524018675568,1.0,30.0,49.69357205602671,8.296570550026987,6.64011814815943,105,8.296570550026987,46.0,32.73788196197711,2.6819761842489243e-06,0.6947205680044135,85.6534681339981,119.67786281708686,17963,0.0066624652239095,0.0077863348088559,0.0882402108386868,0.0545793196090056,46.0,276.0,0.0386628409361709,1.0,0.0743133594160494,0.0386628409361709,0.5016119285770084,0.5027271535085596,46.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.5016848643620809,0.5027730796072218,9.0,1,53,1219.0756900310516
115,1.6564524018675568,1.0,40.0,66.25809607470228,8.296570550026987,6.64011814815943,115,8.296570550026987,51.0,32.73788196197711,2.6819761842489243e-06,0.7927564849960618,80.38517059400328,163.3247630007536,24158,0.0067606905787214,0.0047928377029235,0.069230323579509,0.0438488939003796,51.0,306.0,0.0380333529456573,1.0,0.0731522424840459,0.0380333529456573,0.5016005261271608,0.5027208234749588,51.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.5014083921909332,0.5026205539703369,10.0,1,53,1219.0756900310516
125,1.6564524018675568,1.0,50.0,82.82262009337785,8.296570550026987,6.64011814815943,125,8.296570550026987,58.0,32.73788196197711,2.6819761842489243e-06,0.8621884129970567,41.50812911499816,191.78865302394843,28807,0.0066577100365865,0.0046566774452363,0.0682398523242564,0.04351190309205,58.0,348.0,0.0373344042113628,1.0,0.0718630023043731,0.0373344042113628,0.5015730631762537,0.5027061659714271,58.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.5013422966003418,0.5025651454925537,1.0,1,53,1219.0756900310516
135,1.3189173993773382,0.7962301831856642,58.981150915928325,97.69946909960233,7.959035547536768,6.64011814815943,135,7.959035547536768,60.0,32.73788196197711,2.6819761842489243e-06,0.8669922370027052,44.41259232199809,225.8415930208139,34037,0.0066351791585866,0.0046436287771932,0.0681441763996983,0.0411502334322158,60.0,360.0,0.0371032959781587,1.0,0.0714343087126811,0.0371032959781587,0.5015634586413701,0.5026996264855067,60.0,0.0322420634329319,1.0,0.0624699667096138,0.0322420634329319,0.5016611576080322,0.5027599930763245,10.0,1,53,1219.0756900310516
