x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f0,f1,g0,g1,g2,run,seed
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.015807347895457,0.00041697724902595634,0.40960090644328534,0.999172028481069,0.18,10.561317279662141,8.063515489640531,-3.682534951260264,-3.742446097021457e-06,-166155.38414847717,-1.2310802249377595,2,2002
2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,28.024049161340603,0.0010809406956419545,0.3727726347303836,0.9923261631113743,0.18,10.996598546402582,8.053229039806496,-3.588205225094053,-0.0012906161482533207,-155952.49730842025,-1.05458221963978,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.04223802548678,0.0013420957639114323,0.5093483782108624,0.9997858086653791,0.18,10.006619282170531,8.250194704432106,-3.7989922608659263,-0.0002099648136208998,-181251.20424348192,-1.9214053410798568,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.569665751616558,0.00136770572668802,0.5759225783461923,0.996326560984078,0.18,10.030589331802549,8.25813565051216,-3.8580300165777914,-2.144179234164767e-07,-184969.3826772602,-1.9585385614994846,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.0072889978714,0.10315944759881315,0.3122389534985288,0.983977584913439,0.18,10.159900034694987,8.2514170575891,-3.8207947455182625,-0.0003907582731699222,-183490.91020070305,-2.024469223916091,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.031202558197677,0.1077470656110987,0.3117370236477049,0.9897988765272969,0.18,10.799735506434176,8.245287572652325,-3.776149633193992,-7.405238920910051e-05,-179755.72054777594,-1.5945334609807404,2,2002
2.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,28.0,0.0,0.76198340799193,1.0,0.18,10.0,8.434763625345218,-4.111997305698466,-2.2921634808881208e-05,-130596.42950378095,-1.6694983169590625,2,2002
2.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,28.0,2.3527187142935446e-17,0.7636908848528896,1.0,0.18,10.0,8.434945792391279,-4.113929720036898,-3.2993891181831714e-05,-130885.9370400302,-1.665357282115285,2,2002
2.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,28.0,1.0722759485881639e-16,0.7675858062829467,0.9999999999999998,0.18,10.0,8.295996230912747,-4.11092109326169,-3.0260558560257778e-05,-166380.4189344077,-1.7348065872959957,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.0,0.0,0.5735911684529802,1.0,0.18,10.0,8.257938969353111,-3.8571425602392893,-4.809471647604369e-07,-184953.01456724477,-2.0743642406314318,2,2002
2.0,0.0,2.0,0.0,0.0,5.0,5.0,5.0,28.0,0.0,0.8019392094880053,0.9999999999999998,0.18,10.0,8.43904209142931,-4.147437154690638,-0.00010431484406581149,-136855.6638266789,-1.6691425322457816,2,2002
2.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,28.00103287578196,0.0015644088247081887,0.5753428690563327,0.998526157282157,0.18,10.186842364486937,8.26915459029643,-3.9148521394917513,-1.8848277250071988e-07,-138934.24257319994,-1.5038513192817846,2,2002
2.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,28.01336212338149,0.009399691136708,0.5495701505636859,0.998908340175596,0.18,10.334978691022052,8.26680748132222,-3.891908145356022,-0.0010261550978611922,-135587.25685947406,-1.443989726161492,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.001481267917505,6.809915924206975e-05,0.5135399133877976,0.9993034642573383,0.18,10.00037564570774,8.2503669928918,-3.800918513424375,-0.0008545170649085776,-181254.5007708002,-1.9295104495196966,2,2002
2.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,28.0,5.2909066017292616e-17,0.5100395220010822,0.9999999999999999,0.18,10.0,8.249942221784702,-3.797308508331817,-0.0007232696962091723,-181135.261283192,-1.9233336703616253,2,2002
