n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
300,0.1791565330527881,0.6609212997731159,0.8051733690847775,0.7381828077156694,152.69746479399984,37.0595848514808,0.3343747163504203,1.1160917754690325,300,7.620995302626974,290.0,,,103.46612423751503,12.125357028096914,416.437882386148,54725,0.007609646092026459,0.020287702625711897,0.14243490662654257,0.06547846669649993,290.0,1450.0,16,2016,9661.005103111267
310,0.1737076177811794,0.6653086212402145,0.8051733690847775,0.7157315160677353,159.96703641291685,38.82390560565064,0.32913351521194845,1.104295015597311,310,7.620995302626974,300.0,,,109.90763955377042,30.037825514562428,441.6851178659126,59831,0.0073822118611741845,0.019536124659008308,0.13977168761594141,0.06179192933205234,300.0,1500.0,16,2016,9661.005103111267
320,0.17367428619279907,0.6653354589475277,0.8051733690847775,0.7155941791530442,167.12366488902074,40.56081512552053,0.329054966478537,1.110149878204046,320,7.620995302626974,310.0,,,112.06260764691979,10.91463881637901,451.42921170871705,61152,0.007382084178910208,0.02021886692359712,0.14219306215001182,0.06469933377575972,310.0,1550.0,16,2016,9661.005103111267
330,0.17325839956332395,0.6656703197861394,0.8051733690847775,0.7138805918525639,174.27103874404878,42.29547855430114,0.32259409473936285,1.120764580465379,330,7.620995302626974,320.0,,,116.09552334342152,22.890461871400476,471.2593609429896,64564,0.007299104159330116,0.01864009109586126,0.13652871894169835,0.0607757992766788,320.0,1600.0,16,2016,9661.005103111267
340,0.17325839956332395,0.6656703197861394,0.8051733690847775,0.7138805918525639,181.40984466257441,44.02806254993438,0.32259409473936285,1.120764580465379,340,7.620995302626974,330.0,,,117.34531540051103,39.0813597375527,506.28314586449414,69642,0.007269796184263723,0.02063921086378554,0.14366353352116026,0.06750211808495939,330.0,1650.0,16,2016,9661.005103111267
350,0.17304569205067888,0.6658415862107255,0.8051733690847775,0.7130041681674713,188.54426846267458,45.7595830080044,0.32202214084622705,1.1437625709324653,350,7.620995302626974,340.0,,,122.30122166126966,17.87550370953977,521.7626544972882,72165,0.0072301344765092245,0.01944471021085157,0.13944429070726264,0.061493102422310125,340.0,1700.0,16,2016,9661.005103111267
360,0.17291923089602595,0.6659434093646758,0.8051733690847775,0.7124831073464228,195.67170484024405,47.48940762273792,0.32147990843480767,1.1564789874968162,360,7.620995302626974,350.0,,,125.34425221662968,14.731822646223009,534.1096051326022,74677,0.007152263817943974,0.01928579436192507,0.13887330327289357,0.06291449402117999,350.0,1750.0,16,2016,9661.005103111267
370,0.17291396724336983,0.6659476475176186,0.8051733690847775,0.7124614193966153,202.79642747395923,49.2185736134349,0.32152104086995337,1.1623168618907436,370,7.620995302626974,360.0,,,131.09717820771039,10.891550309956074,543.8270328715444,75995,0.007156089648944593,0.01945052110583859,0.1394651250522459,0.06173058262458574,360.0,1800.0,16,2016,9661.005103111267
380,0.1726808450791659,0.666135351275979,0.8051733690847775,0.7115008807504354,209.9162389746945,50.946547675047576,0.31958968934187726,1.1376856281944205,380,7.620995302626974,365.0,,,132.9861805057153,20.613117766566575,560.9649030528963,79700,0.007038455496272224,0.019242556064185835,0.1387175405786371,0.06141700722772592,365.0,1825.0,16,2016,9661.005103111267
390,0.1726452965472536,0.6661639740071849,0.8051733690847775,0.7113544093120232,217.0305154250068,52.673178383179675,0.3194304527424947,1.159087759245621,390,7.620995302626974,374.0,,,137.25443339999765,28.652916710823774,584.8438104931265,84854,0.00689235404922722,0.017587896399479466,0.1326193666078958,0.056559518324122156,374.0,1870.0,16,2016,9661.005103111267
400,0.1726291221058774,0.6661769972366408,0.8051733690847775,0.7112877653870439,224.14372629850214,54.39955047644533,0.3194304527424947,1.1504671266266109,400,7.620995302626974,384.0,,,141.13427360542119,11.6174076506868,595.2896801643074,86206,0.006905432106399872,0.01835282129642822,0.13547258503633944,0.05968045731031872,384.0,1920.0,16,2016,9661.005103111267
410,0.1726291221058774,0.6661769972366408,0.8051733690847775,0.7112877653870439,231.2566039523726,56.1258416975041,0.3194304527424947,1.1504671266266109,410,7.620995302626974,385.0,,,137.27336136810482,11.56157567165792,605.6999089810997,87549,0.0069184103642657225,0.01780199601396874,0.13342412081017713,0.056892697983100676,385.0,1925.0,16,2016,9661.005103111267
420,0.1726291221058774,0.6661769972366408,0.8051733690847775,0.7112877653870439,238.36948160624303,57.85213291856287,0.3194304527424947,1.1504671266266109,420,7.620995302626974,386.0,,,141.6775737721473,11.88676701951772,616.3886187113822,88900,0.006933505272344006,0.016098177528544075,0.126878593657654,0.05312166130610751,386.0,1930.0,16,2016,9661.005103111267
430,0.1726291221058774,0.6661769972366408,0.8051733690847775,0.7112877653870439,245.48235926011347,59.578424139621646,0.3194304527424947,1.1504671266266109,430,7.620995302626974,387.0,,,138.44929789192975,11.097836937755346,626.3364591859281,90212,0.006942939511217223,0.016466015535647558,0.128319973252988,0.05401204496519085,387.0,1935.0,16,2016,9661.005103111267
440,0.17251110598379135,0.6662720206752671,0.8051733690847775,0.7108015008290469,252.59280559119392,61.30412528006999,0.31840650545107857,1.1182802691629035,440,7.620995302626974,388.0,,,143.02012453973293,36.323817145079374,660.0496155256405,93620,0.007050305656116648,0.015546269143813827,0.12468467886558407,0.0515531525189845,388.0,1940.0,16,2016,9661.005103111267
450,0.17240003653832903,0.6663614508348724,0.8051733690847775,0.7103438588234459,259.6985323894564,63.02868099268059,0.316805358344704,1.1135939061410098,450,7.620995302626974,397.0,,,139.9656209303066,18.522463149391115,675.5523007083684,96811,0.006978053121116076,0.015343316955460628,0.12386814342461352,0.05136930081585753,397.0,1985.0,16,2016,9661.005103111267
460,0.1723999379595885,0.666361530207849,0.8051733690847775,0.7103434526471808,266.8019689468095,64.75268086517018,0.31668645458875105,1.1036348663303925,460,7.620995302626974,406.0,,,148.71390852052718,33.38600886799395,704.402899267152,102128,0.0068972553978062035,0.015087359578754593,0.12283061336146861,0.050391076516818636,406.0,2030.0,16,2016,9661.005103111267
470,0.17234931031560558,0.6664022942385236,0.8051733690847775,0.7101348503944662,273.90436046201773,66.47642710654614,0.3165541804057125,1.114047156856221,470,7.620995302626974,415.0,,,149.82569230441004,28.057683128863573,727.6676883297041,107261,0.006784084507227269,0.014329963029360605,0.11970782359294903,0.04757451100246219,415.0,2075.0,16,2016,9661.005103111267
480,0.17234931031560558,0.6664022942385236,0.8051733690847775,0.7101348503944662,281.0057089659624,68.1999202097022,0.3165541804057125,1.114047156856221,480,7.620995302626974,423.0,,,155.24269958026707,9.603246294893324,736.130990778096,108585,0.006779306449123691,0.014704808819295272,0.12126338614476866,0.04840319360200392,423.0,2115.0,16,2016,9661.005103111267
490,0.17188756517714784,0.6667740791273141,0.8051733690847775,0.7082323112185415,288.0975447740274,69.92110458716597,0.2723964734511334,1.1217594364986472,490,7.620995302626974,424.0,,,151.94818307552487,20.981742409057915,754.8470273353159,111264,0.006784288065639524,0.014929983146717426,0.12218831018848499,0.04993167311453486,424.0,2120.0,16,2016,9661.005103111267
500,0.17188756517714784,0.6667740791273141,0.8051733690847775,0.7082323112185415,295.17986788621283,71.63998023893745,0.2723964734511334,1.1217594364986472,500,7.620995302626974,434.0,,,155.11687669996172,11.26994054671377,764.9345392780378,112595,0.006793681240534996,0.0160032167272104,0.12650382099845997,0.05175085636532118,434.0,2170.0,16,2016,9661.005103111267
510,0.171844716956602,0.6668085793734103,0.8051733690847775,0.7080557627041826,302.26130825582646,73.3586416496062,0.27227514535450864,1.1280863284008407,510,7.620995302626974,435.0,,,160.75681351777166,24.622524332255125,785.3200698532164,117125,0.006704973915502382,0.01508170116813957,0.1228075778123629,0.04807239831510269,435.0,2175.0,16,2016,9661.005103111267
520,0.17181737087938825,0.6668305977065317,0.8051733690847775,0.707943088029619,309.34130250949545,75.07695208878614,0.2720660394799981,1.1329358512789822,520,7.620995302626974,445.0,,,158.65596768073738,19.69393382035196,802.5896450756118,119649,0.0067078675548948325,0.014490513163348501,0.12037654739752467,0.046934635490550575,445.0,2225.0,16,2016,9661.005103111267
530,0.17178596063501644,0.6668558883988164,0.8051733690847775,0.7078136676730944,316.42008628800903,76.79496874635817,0.2716922002930457,1.1224193851050472,530,7.620995302626974,455.0,,,167.6248014383018,18.979084783233702,818.4418677855283,122963,0.006656001136809677,0.014404080867031963,0.12001700240812534,0.04848736672033817,455.0,2275.0,16,2016,9661.005103111267
540,0.17178287326987698,0.6668583742630073,0.8051733690847775,0.7078009467310876,323.49815936002994,78.51281291588263,0.27169034908491285,1.1243159684357245,540,7.620995302626974,463.0,,,168.28168478421867,9.868913945741951,827.1540737114847,124232,0.006658140203099722,0.013138769309467705,0.11462447081434098,0.04521166549766439,463.0,2315.0,16,2016,9661.005103111267
550,0.17176196010123315,0.6668752129894625,0.8051733690847775,0.7077147777185226,330.575737982278,80.23053708273818,0.2714522685164424,1.1227541121259261,550,7.620995302626974,464.0,,,163.6606603898108,22.606438557617366,845.990906432271,128280,0.006594877661617329,0.013494116781635354,0.11616418028650378,0.04394437551331713,464.0,2320.0,16,2016,9661.005103111267
560,0.17056273651162093,0.6678407958873965,0.8051733690847775,0.7027735890195987,337.62817981596856,81.94216056580245,0.27050959803551444,1.1163313743152845,560,7.620995302626974,473.0,,,175.84164790064096,14.5116909686476,858.1267586955801,130694,0.006565923138748374,0.013648504665907422,0.11682681484106044,0.04523202348713192,473.0,2365.0,16,2016,9661.005103111267
570,0.17052586075504497,0.6678704872645563,0.8051733690847775,0.7026216489867011,344.6551560060001,83.64760355213578,0.2697629992272652,1.1034639086688187,570,7.620995302626974,483.0,,,176.74859429430217,29.529403403401375,878.1215374162421,135124,0.006498634864393017,0.014212308448401705,0.11921538679382668,0.046035250923373246,483.0,2415.0,16,2016,9661.005103111267
580,0.1705251825393592,0.667871033345765,0.8051733690847775,0.7026188545189213,351.6813585235282,85.3528587686078,0.2697609074183381,1.1051763453279944,580,7.620995302626974,492.0,,,182.94588796421885,18.88239359948784,894.1234853463247,138396,0.0064606165304367524,0.012471830988140543,0.11167735217196252,0.04163353396648976,492.0,2460.0,16,2016,9661.005103111267
590,0.17008667166369107,0.668224110624907,0.8051733690847775,0.7008120480134662,358.69851303619015,87.05591803962305,0.2699765931506296,1.0887226025118097,590,7.620995302626974,501.0,,,149.49397396668792,20.030000596307218,911.024146663025,141855,0.006422220906298862,0.013298516857835396,0.11531919553064614,0.04541824739029977,501.0,2505.0,16,2016,9661.005103111267
600,0.1700822262822696,0.668227689927643,0.8051733690847775,0.7007937316055566,365.70654193428527,88.75676252935286,0.2699320862141948,1.0873468974762523,600,7.620995302626974,511.0,,,152.2736378852278,20.647034423425794,928.7457693247125,145187,0.006396893449996987,0.01450994650843667,0.12045723933594307,0.04699427679929455,511.0,2555.0,16,2016,9661.005103111267
610,0.1700759288609329,0.6682327604435973,0.8051733690847775,0.7007677841947394,372.7143495132867,90.45755330506887,0.26984499758683445,1.090727351856329,610,7.620995302626974,520.0,,,152.32379293534905,16.806500787846744,942.6849411707371,148319,0.0063557935340093795,0.012676932945709516,0.11259188667799078,0.04188557588084594,520.0,2600.0,16,2016,9661.005103111267
620,0.1699919815956091,0.6683003525460435,0.8051733690847775,0.7004218943354034,379.72029790593746,92.15789285735158,0.2691010652889879,1.0817205506146734,620,7.620995302626974,529.0,,,155.85222114995122,20.217359196394682,954.4260490266606,151027,0.006319572321681955,0.012107128748005444,0.11003239862879226,0.041655049619080904,529.0,2645.0,16,2016,9661.005103111267
630,0.1699911334686976,0.6683010354352462,0.8051733690847775,0.7004183997784694,386.7244993765068,93.85780843267312,0.2691010652889879,1.0834613933012567,630,7.620995302626974,539.0,,,158.7000400768593,24.06181750074029,975.2371297813952,154475,0.00631323599146396,0.013715747398145116,0.11711424933860574,0.04617801428061435,539.0,2695.0,16,2016,9661.005103111267
640,0.16999086941217778,0.6683012480465239,0.8051733690847775,0.7004173117802822,393.72867793430055,95.5577184470775,0.26910078618462685,1.0851731259050548,640,7.620995302626974,547.0,,,161.1349588027224,25.65046519599855,996.4590007532388,159336,0.006253822116491181,0.011676971823765172,0.1080600380518403,0.03970237269317377,547.0,2735.0,16,2016,9661.005103111267
650,0.16931745806546514,0.6688434609293364,0.8051733690847775,0.6976426394298328,400.71897769035115,97.25426008446571,0.26853230218307067,1.0826730518427379,650,7.620995302626974,555.0,,,164.27229827269912,14.375912063755095,1008.2329215304926,162030,0.006222507693208003,0.012209156372106176,0.11049505134668329,0.04071083972204478,555.0,2775.0,16,2016,9661.005103111267
660,0.16931745806546514,0.6688434609293364,0.8051733690847775,0.6976426394298328,407.69540408464945,98.94743466512037,0.26853230218307067,1.0826730518427379,660,7.620995302626974,564.0,,,167.37461534980685,10.211229287087917,1017.2788970423862,163402,0.006225620843333534,0.011720685528805735,0.10826211492856462,0.0391591495437879,564.0,2820.0,16,2016,9661.005103111267
670,0.16931579582642808,0.6688447993199421,0.8051733690847775,0.6976357904678745,414.671796234138,100.64060093457984,0.2685258313925945,1.080962372890828,670,7.620995302626974,565.0,,,168.83728592284024,5.836442896164954,1021.9665335994214,164510,0.006212184873864332,0.01166792132013452,0.10801815273431832,0.039495321445392736,565.0,2825.0,16,2016,9661.005103111267
680,0.16929779380193138,0.6688592940706565,0.8051733690847775,0.6975616163098848,421.6477832680268,102.33366888272164,0.26841528297667877,1.0719350655973081,680,7.620995302626974,566.0,,,168.3325985223055,28.684167138300836,1046.0796607248485,169709,0.006163961019891983,0.01174378676822186,0.10836875365261825,0.040104608166225256,566.0,2830.0,16,2016,9661.005103111267
690,0.16929779380193138,0.6688592940706565,0.8051733690847775,0.6975616163098848,428.6233994311256,104.02664682074095,0.26841528297667877,1.0719350655973081,690,7.620995302626974,576.0,,,169.9193577663973,7.810604304075241,1052.739900784567,170941,0.006158498550871745,0.012992478204939786,0.11398455248383346,0.04405496319274092,576.0,2880.0,16,2016,9661.005103111267
700,0.16928811306277874,0.6688670887440152,0.8051733690847775,0.6975217285364016,435.59881615535704,105.7195763550645,0.2683263908798009,1.072314280572751,700,7.620995302626974,577.0,,,170.74562856089324,19.627773360349238,1069.9041497875005,173847,0.00615428595136816,0.011295303965681241,0.10627936754460501,0.039361459431801436,577.0,2885.0,16,2016,9661.005103111267
710,0.16928811306277874,0.6688670887440152,0.8051733690847775,0.6975217285364016,442.57403344072105,107.41245748569229,0.2683263908798009,1.072314280572751,710,7.620995302626974,587.0,,,172.79778524767607,8.96183583792299,1077.6935648154467,175156,0.006152764192008534,0.012217177790843877,0.11053134302469991,0.04442843181312359,587.0,2935.0,16,2016,9661.005103111267
720,0.1691803157484573,0.6689538842707657,0.8051733690847775,0.6970775687684373,449.54702992724526,109.10479962974847,0.2642227229310198,1.1287900467020353,720,7.620995302626974,588.0,,,173.54869772214442,18.51274384278804,1092.9797429414466,178589,0.006120084344172634,0.010870973928257805,0.10426396274963753,0.037350507327709184,588.0,2940.0,16,2016,9661.005103111267
730,0.16915857022264116,0.6689713931890496,0.8051733690847775,0.6969879701753595,456.51735762196427,110.79649405960396,0.2641033270388518,1.115196099648804,730,7.620995302626974,596.0,,,178.38329529110342,19.19743577670306,1108.7645547948778,182200,0.0060854256574910965,0.012456548854672369,0.11160891028350904,0.04103722413729325,596.0,2980.0,16,2016,9661.005103111267
740,0.16914956691877064,0.66897864240956,0.8051733690847775,0.6969508736541409,463.4870518411118,112.48803474531101,0.2640860960516327,1.1163397199487655,740,7.620995302626974,606.0,,,179.7051660362631,16.626380478963256,1122.8643271140754,184981,0.006070160325190563,0.012757831570555976,0.11295057136002445,0.043230680645726854,606.0,3030.0,16,2016,9661.005103111267
750,0.16914462090455917,0.6689826248084861,0.8051733690847775,0.6969304944773651,470.45645868176933,114.17950568442767,0.26407127652182194,1.1162806819368674,750,7.620995302626974,616.0,,,181.92739729303867,14.127211299724877,1134.604705964215,187504,0.006051096008427634,0.01181976713498108,0.10871875245320413,0.03955061205587796,616.0,3080.0,16,2016,9661.005103111267
