n_eval,best_gap.gap,best_gap.ratio,best_gap.regret,best_gap.abs_regret,best_gap.f_best,best_gap.f_opt,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,surrogate.train_fit.mse,surrogate.train_fit.rmse,surrogate.train_fit.mae,surrogate.train_fit.n_points,surrogate.train_fit.n_valid,run,seed,runtime_sec
205,0.1531089363068822,0.1401581920921669,67.07874556473621,73.2768825632615,6.793227084466312,6.64011814815943,205,6.793227084466312,105.0,,,36.49217306915671,36.56316195195541,349.489575448446,54420,0.0064220796664543,0.0037793621205594,0.0614765168219497,0.0378695846959019,105.0,630.0,31,2031,1747.9341533184052
215,0.1531089363068822,0.1401581920921669,68.48032748565788,74.80797192633031,6.793227084466312,6.64011814815943,215,6.793227084466312,112.0,,,40.1004250231199,61.81545062921941,398.7266374658793,59867,0.0066602074175402,0.0043478750616502,0.0659384187075352,0.0400094729012969,112.0,672.0,31,2031,1747.9341533184052
225,0.1531089363068822,0.1401581920921669,69.88190940657955,76.33906128939913,6.793227084466312,6.64011814815943,225,6.793227084466312,122.0,,,39.01396593032405,36.040014140773565,430.1185446651653,64938,0.0066235262044591,0.0040892716989243,0.0639474135436639,0.0388682667410771,122.0,732.0,31,2031,1747.9341533184052
235,0.1531089363068822,0.1401581920921669,71.28349132750122,77.87015065246794,6.793227084466312,6.64011814815943,235,6.793227084466312,129.0,,,44.25548540521413,44.994261091109365,468.61920868232846,70098,0.0066852008428532,0.0036604276589685,0.0605014682381228,0.0370069741842668,129.0,774.0,31,2031,1747.9341533184052
245,0.1531089363068822,0.1401581920921669,72.6850732484229,79.40124001553676,6.793227084466312,6.64011814815943,245,6.793227084466312,139.0,,,52.26796019915491,44.16300408914685,505.0539096426219,75316,0.0067057983647913,0.0035646460933694,0.0597046572167489,0.0357308488715465,139.0,834.0,31,2031,1747.9341533184052
255,0.1531089363068822,0.1401581920921669,74.08665516934457,80.93232937860557,6.793227084466312,6.64011814815943,255,6.793227084466312,143.0,,,49.13232364784926,46.09597339574248,543.2278194352984,80538,0.0067449877006543,0.0040252720334224,0.0634450315897346,0.0377335566660122,143.0,858.0,31,2031,1747.9341533184052
265,0.1531089363068822,0.1401581920921669,75.48823709026624,82.46341874167439,6.793227084466312,6.64011814815943,265,6.793227084466312,151.0,,,53.17689283797517,43.9924878468737,580.8832960468717,85687,0.006779129810203,0.0038403862626369,0.0619708501041978,0.0366842589325365,151.0,906.0,31,2031,1747.9341533184052
275,0.1531089363068822,0.1401581920921669,76.88981901118791,83.9945081047432,6.793227084466312,6.64011814815943,275,6.793227084466312,158.0,,,57.49763491610065,33.838776180986315,610.3768960977904,90742,0.0067265091809502,0.0028135123371884,0.0530425521368315,0.0310073901690708,158.0,948.0,31,2031,1747.9341533184052
285,0.1531089363068822,0.1401581920921669,78.29140093210958,85.52559746781202,6.793227084466312,6.64011814815943,285,6.793227084466312,166.0,,,61.85204158117995,49.321836412884295,648.8400621451437,96110,0.0067510151091992,0.0026451362696053,0.0514308882832615,0.0307144640782441,166.0,996.0,31,2031,1747.9341533184052
295,0.1272554680029296,0.1164915435986311,79.57464961056357,86.92741948936109,6.767373616162359,6.64011814815943,295,6.767373616162359,173.0,,,69.90497990883887,40.26671277079731,682.2424974516034,101288,0.0067356695507029,0.0041642006295123,0.0645306177679429,0.0401812162687979,173.0,1038.0,31,2031,1747.9341533184052
