n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
170,0.2062264546897839,0.5198837582312661,0.6549522358144216,0.3318806908737187,68.91448835150752,42.822589563969245,1.2633609493877145,1.0280777206686975,170,-4.004231576322056,160.0,,,37.41352853085846,21.139645515941083,917.4058858100324,68656,0.013362355596161,0.0001130712886215,20.000000000000004,4,56,1735.2809326648712
180,0.206103115837327,0.5199645392884455,0.6549522358144216,0.3316822013849353,72.23230281280078,44.8842374166048,1.262266773866904,1.0363536064371364,180,-4.004231576322056,170.0,,,39.89751098677516,92.16153471916914,1005.5035509988666,74028,0.0135827464067496,3.291582180339042,19.99999999999997,4,56,1735.2809326648712
190,0.1689002043951354,0.5443306693163149,0.6549522358144216,0.271811473497375,75.24977118721233,46.75925401776711,1.2067138420185597,0.9482562788647038,190,-4.004231576322056,180.0,,,40.32936853915453,109.7796952398494,1111.1941979723051,79787,0.01392700813381,20.000000000000004,20.000000000000004,4,56,1735.2809326648712
200,0.1689002043951354,0.5443306693163149,0.6549522358144216,0.271811473497375,77.96788592218608,48.44825606171847,1.2067138420185597,0.9482562788647038,200,-4.004231576322056,190.0,,,39.87628731876612,95.73721866030246,1202.9960765643043,85354,0.0140941968339422,20.000000000000004,20.000000000000004,4,56,1735.2809326648712
30,0.5157888993027613,0.3171351430078186,0.6549522358144216,1.0,0.0,0.0,4.45884023165276,0.857703403997682,30,-3.611878168611273,,,,,,0.0,0,,,,5,57,1599.4272291660309
40,0.489042544682089,0.3346527277665132,0.6549522358144216,0.9481447649283888,9.740723824641943,5.024157219924251,4.147960234218511,0.8080295098088982,40,-3.611878168611273,30.0,,,11.0455126715824,73.46797212213278,69.44580470770597,5324,0.0130439152343549,11.743613468507146,20.000000000000004,5,57,1599.4272291660309
50,0.4555024958887204,0.3566198577130548,0.6549522358144216,0.8831180673032407,18.89703798580009,9.7468824227783,4.135683415340028,0.8939408445837169,50,-3.611878168611273,40.0,,,13.03119424637407,72.00736718904227,137.3972360054031,10544,0.0130308455999054,11.73342967305851,20.000000000000004,5,57,1599.4272291660309
60,0.4414454931825381,0.3658265230643183,0.6549522358144216,0.8558646643603228,27.591951644117906,14.231622368134593,4.118482094496794,0.8625985105386103,60,-3.611878168611273,50.0,,,14.4667326239869,83.3519203318283,216.67914696224037,16030,0.0135171021186675,6.800220312021956,20.000000000000004,5,57,1599.4272291660309
70,0.3778153266763444,0.4075012428827937,0.6549522358144216,0.732499918449334,35.533774558166186,18.327926467429,3.4503647773626893,0.8756486974559354,70,-3.611878168611273,60.0,,,16.000156917609274,55.94687001314014,268.67458861507475,21184,0.0126829016529019,6.761960546168165,20.000000000000004,5,57,1599.4272291660309
80,0.2518466531518334,0.4900047072502491,0.6549522358144216,0.4882746671986882,41.63764748640629,21.476236366569893,3.567430897198145,0.9553333057247207,80,-3.611878168611273,70.0,,,17.736282285302877,74.79839307721704,339.50517665594816,26482,0.0128202241770239,6.185189372705721,20.000000000000004,5,57,1599.4272291660309
90,0.2437194117892653,0.4953276621516666,0.6549522358144216,0.472517753132576,46.44160958806262,23.954066691275383,2.493075005646097,0.9835982347174606,90,-7.615377892268965,80.0,,,19.325062313117087,33.20555239636451,369.7714252565056,29908,0.0123636293050857,6.12198938087859,20.000000000000004,5,57,1599.4272291660309
100,0.2363642297997551,0.5001449550405183,0.6549522358144216,0.4582576905382611,51.0954868064168,26.354484899220488,1.857591083091312,1.0732434818837435,100,-7.615377892268965,90.0,,,21.293256793171167,42.0249418290332,408.59138279408216,33667,0.0121362575457891,5.651064050949599,20.000000000000004,5,57,1599.4272291660309
110,0.2362168980068965,0.5002414503276575,0.6549522358144216,0.4579720469483007,55.67663549384961,28.717390538253746,1.8057409463318843,1.0695094721236638,110,-7.615377892268965,100.0,,,22.976885666139424,54.88341601844877,459.7110464423895,38470,0.0119498582386896,5.871892737185039,20.000000000000004,5,57,1599.4272291660309
120,0.2346386619570539,0.5012751195571449,0.6549522358144216,0.4549121981381071,60.24105671928165,31.071668338073497,1.4785366181434425,1.0026888703886028,120,-7.615377892268965,110.0,,,24.793197564780712,69.9892335999757,525.6736870259047,43927,0.0119669835642293,5.650136126959009,20.00000000000001,5,57,1599.4272291660309
130,0.2299665305061557,0.5043351424969296,0.6549522358144216,0.445853974013443,64.7448875800394,33.394694300389546,1.4553281245367518,1.061649839970525,130,-8.031272261366043,120.0,,,26.47246420942247,79.42026283219457,600.9942199382931,49271,0.0121977272622494,10.51368724538136,19.999999999999996,5,57,1599.4272291660309
