sample_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,is_active0,is_active1,is_active2,is_active3,is_active4,is_active5,is_active6,is_active7,is_active8,is_active9,is_active10,is_active11,is_active12,is_active13,is_active14,is_active15,is_active16,is_active17,is_active18,is_active19,is_active20,is_active21,is_active22,is_active23,is_active24,is_active25,is_active26,is_active27,is_active28,is_active29,f0,f1,cv,is_feasible
824,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7501508314162493,0.5,0.5,0.8063259860500693,0.7463022507727146,0.5,0.3783102473244071,0.3762266207486391,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.318096097254305,37.782074518496415,0.0,True
825,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3342690337449312,0.5,0.5,0.44827038422226906,0.1941356100142002,0.5,0.8393624415621161,0.9937072843313217,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.07277111331098,35.63500482922483,0.0,True
826,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09181234613060951,0.5,0.5,0.6024124836549163,0.4346352778375149,0.5,0.10388304479420185,0.7021599691361189,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.009536202786995,31.11755120085056,0.0,True
827,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5082134492695332,0.5,0.5,0.1508338712155819,0.8827393613755703,0.5,0.6743249911814928,0.17949270829558372,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.148420644951209,33.132311962538424,0.0,True
828,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000377774238586,0.5,0.5,0.0921061672270298,0.8333798544481397,0.5,0.17586101312190294,0.5536249727010727,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.274249435001322,33.360202273732625,0.0,True
829,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15110637247562408,0.5,0.5,0.6689298888668418,0.35899477172642946,0.5,0.6064108880236745,0.07631917484104633,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.020661762170775,30.423760291367145,0.0,True
830,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3935134466737509,0.5,0.5,0.26477911695837975,0.019798886962234974,0.5,0.3409098833799362,0.3678436242043972,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.095364181652156,27.043958898021074,0.0,True
831,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419866409152746,0.5,0.5,0.9975915169343352,0.5456389905884862,0.5,0.8808189928531647,0.7503817956894636,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.570402825922188,45.2579595980326,0.0,True
832,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9497117828577757,0.5,0.5,0.4383036885410547,0.9767588209360838,0.5,0.7721572453156114,0.8694227412343025,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.585200562451083,44.65352226965458,0.0,True
833,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4012915473431349,0.5,0.5,0.7992870518937707,0.4558663796633482,0.5,0.4514863872900605,0.2524647507816553,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.098452637976457,32.88187175955634,0.0,True
834,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1431988850235939,0.5,0.5,0.14221947081387043,0.165118595585227,0.5,0.7497098483145237,0.05082506313920021,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.019098381315244,26.79077931182093,0.0,True
835,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6921985074877739,0.5,0.5,0.5967220598831773,0.6444437112659216,0.5,0.03839828446507454,0.574968671426177,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.267728893512448,34.48116777862022,0.0,True
836,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5004272572696209,0.5,0.5,0.6632623383775353,0.5638593723997474,0.5,0.5329867852851748,0.20105383731424809,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.144261819579274,33.519966078989,0.0,True
837,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08409532532095909,0.5,0.5,0.08351466991007328,0.12070295121520758,0.5,0.2433065278455615,0.6769366934895515,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.008427009336974,26.79626922094823,0.0,True
838,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3421154711395502,0.5,0.5,0.990590744651854,0.2502592569217086,0.5,0.9460634347051382,0.8785534854978323,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.075637820273034,39.212102499810456,0.0,True
839,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7580511812120676,0.5,0.5,0.25485055334866047,0.8073659306392074,0.5,0.26577298901975155,0.49553078785538673,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.325633900592481,34.963612718537114,0.0,True
840,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8128165947273374,0.5,0.5,0.01532774232327938,0.37703701481223106,0.5,0.5934526277706027,0.18599735014140606,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,-4.382910843645498,31.655584126934126,0.0,True
