n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.wloa_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.f1_mass.graph_0.wloa_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
200,0.112455691149547,0.5812991294659697,0.6549522358144216,0.1810301401019854,68.0084757786631,42.24677804153623,0.862347937454597,1.0106702271552326,200,-3.6379424351679095,190.0,,,13.224816443864256,100.15334339579567,1326.1426730439998,76980,0.0172271066906209,0.008282818878721,0.2349507128932922,0.7567664682279868,0.1315783199059202,0.8671058968950206,0.0013157831990592,6.0,7.0,6.0,7.0,6,58,1588.324675321579
30,0.5926042889878593,0.2668247317886075,0.6549522358144216,1.0,0.0,0.0,3.699604296471626,0.8201290591777262,30,-3.561040025486759,,,,,,0.0,0,,,,,,,,,,,,7,59,1565.092884540558
40,0.5058942523925561,0.3236156641242516,0.6549522358144216,0.8536797012667594,9.268398506333796,5.492492706902077,3.3047188186501,0.8934461314161171,40,-3.561040025486759,30.0,,,8.94126728689298,43.76010456401855,41.084649614524096,3098,0.0132616686941652,0.9803921568627452,0.0098039215686274,0.0098039215686274,0.6480341251913899,0.3454855335566961,0.0064803412519138,6.0,7.0,6.0,7.0,7,59,1565.092884540558
50,0.4243914788283144,0.3769960878952283,0.6549522358144216,0.7161464854619183,17.117529439977186,10.143921363006427,2.52972848874257,0.865358579598599,50,-3.561040025486759,40.0,,,8.565267908852547,50.582007391843945,89.30900213867426,5775,0.0154647622750951,0.0082189025859871,0.2347734917423361,0.7570076056716767,0.1826280374306565,0.815545682195037,0.0018262803743065,6.0,7.0,6.0,7.0,7,59,1565.092884540558
60,0.419239244578271,0.3803705552367339,0.6549522358144216,0.7074522617686622,24.235523176130087,14.362074980039356,2.6156153803500715,0.919081113166829,60,-3.561040025486759,50.0,,,8.81279393332079,46.39882173715159,132.79370279237628,9380,0.0141571111718951,0.244064833863268,0.7399003460725498,0.0160348200641821,0.2276483040401272,0.7700752129194715,0.0022764830404012,6.0,7.0,6.0,7.0,7,59,1565.092884540558
70,0.1915768041145422,0.5294785796294207,0.6549522358144216,0.3232794761606375,29.389181865776585,17.416155223503424,1.7776871723176793,0.9301608920565076,70,-3.561040025486759,60.0,,,8.889622959773988,67.40574040170759,196.33672352181748,14484,0.0135554213975295,0.1414969862170952,0.4153425872369872,0.4431604265459176,0.2078005731893243,0.7901214210787825,0.0020780057318932,6.0,7.0,6.0,7.0,7,59,1565.092884540558
80,0.1906703339583927,0.5300722742848899,0.6549522358144216,0.3217498379636246,32.6143284363979,19.327390913868097,1.7105217199033365,0.9378398198137052,80,-3.561040025486759,70.0,,,10.7001674589701,107.34545006603004,299.75035977642983,20103,0.0149107277409555,0.1809892095169459,0.623625980306795,0.1953848101762592,0.1678199381793809,0.8305018624388253,0.0016781993817938,6.0,7.0,6.0,7.0,7,59,1565.092884540558
90,0.1885563787343397,0.531456813985295,0.6549522358144216,0.3181826089318139,35.81399067087509,21.22352447733176,1.561826071769251,1.0028247896529012,90,-10.71588650435113,80.0,,,9.4811956807971,57.30784256290645,354.67944666929543,22886,0.0154976599960366,0.155884404531046,0.6328085190272886,0.2113070764416653,0.1457416480632976,0.8528009354560694,0.0014574164806329,6.0,7.0,6.0,7.0,7,59,1565.092884540558
100,0.181251272122583,0.5362413098935277,0.6549522358144216,0.3058554848331453,38.93418113969989,23.07256273161637,1.1849250920785992,0.9936144424432112,100,-10.71588650435113,90.0,,,9.697337374091148,101.21734997816384,451.9388808668591,28229,0.0160097375346933,0.1444701672886569,0.4491286968370717,0.4064011358742714,0.1330464874488176,0.8656230476766943,0.0013304648744881,6.0,7.0,6.0,7.0,7,59,1565.092884540558
110,0.1775164083083928,0.538687467299094,0.6549522358144216,0.2995530265425223,41.96122369657822,24.86640113377125,1.1298145974135714,0.9845347048589276,110,-10.71588650435113,100.0,,,11.683912293054163,27.91000422695652,477.5561224264093,30540,0.0156370701514868,0.1564450153583228,0.5725715378174248,0.2709834468242525,0.1525952150706432,0.8458788327786503,0.0015259521507064,6.0,7.0,6.0,7.0,7,59,1565.092884540558
